,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
0,1,Women,Ciutat Vella,el Raval,440,1,Without studies
1,1,Women,Ciutat Vella,el Barri Gòtic,146,2,Without studies
2,1,Women,Ciutat Vella,la Barceloneta,273,3,Without studies
3,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",223,4,Without studies
4,2,Women,Eixample,el Fort Pienc,262,5,Without studies
5,2,Women,Eixample,la Sagrada Família,513,6,Without studies
6,2,Women,Eixample,la Dreta de l'Eixample,251,7,Without studies
7,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,263,8,Without studies
8,2,Women,Eixample,la Nova Esquerra de l'Eixample,427,9,Without studies
9,2,Women,Eixample,Sant Antoni,437,10,Without studies
10,3,Women,Sants-Montjuïc,el Poble Sec,534,11,Without studies
11,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,31,12,Without studies
12,3,Women,Sants-Montjuïc,la Marina de Port,555,13,Without studies
13,3,Women,Sants-Montjuïc,la Font de la Guatlla,169,14,Without studies
14,3,Women,Sants-Montjuïc,Hostafrancs,185,15,Without studies
15,3,Women,Sants-Montjuïc,la Bordeta,293,16,Without studies
16,3,Women,Sants-Montjuïc,Sants - Badal,380,17,Without studies
17,3,Women,Sants-Montjuïc,Sants,536,18,Without studies
18,4,Women,Les Corts,les Corts,363,19,Without studies
19,4,Women,Les Corts,la Maternitat i Sant Ramon,288,20,Without studies
20,4,Women,Les Corts,Pedralbes,25,21,Without studies
21,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",33,22,Without studies
22,5,Women,Sarrià-Sant Gervasi,Sarrià,123,23,Without studies
23,5,Women,Sarrià-Sant Gervasi,les Tres Torres,36,24,Without studies
24,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,101,25,Without studies
25,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,132,26,Without studies
26,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,115,27,Without studies
27,6,Women,Gràcia,Vallcarca i els Penitents,159,28,Without studies
28,6,Women,Gràcia,el Coll,102,29,Without studies
29,6,Women,Gràcia,la Salut,111,30,Without studies
30,6,Women,Gràcia,la Vila de Gràcia,507,31,Without studies
31,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,324,32,Without studies
32,7,Women,Horta-Guinardó,el Baix Guinardó,419,33,Without studies
33,7,Women,Horta-Guinardó,Can Baró,169,34,Without studies
