,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Nationality
0,1,Women,Ciutat Vella,el Raval,1,11405,Spain
1,1,Women,Ciutat Vella,el Barri Gòtic,2,4141,Spain
2,1,Women,Ciutat Vella,la Barceloneta,3,4730,Spain
3,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,6468,Spain
4,2,Women,Eixample,el Fort Pienc,5,12900,Spain
5,2,Women,Eixample,la Sagrada Família,6,21704,Spain
6,2,Women,Eixample,la Dreta de l'Eixample,7,17792,Spain
7,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,17370,Spain
8,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,24871,Spain
9,2,Women,Eixample,Sant Antoni,10,15542,Spain
10,3,Women,Sants-Montjuïc,el Poble Sec,11,13815,Spain
11,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,513,Spain
12,3,Women,Sants-Montjuïc,la Marina de Port,13,13436,Spain
13,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,4340,Spain
14,3,Women,Sants-Montjuïc,Hostafrancs,15,6354,Spain
15,3,Women,Sants-Montjuïc,la Bordeta,16,8745,Spain
16,3,Women,Sants-Montjuïc,Sants - Badal,17,10571,Spain
17,3,Women,Sants-Montjuïc,Sants,18,17924,Spain
18,4,Women,Les Corts,les Corts,19,21633,Spain
19,4,Women,Les Corts,la Maternitat i Sant Ramon,20,11085,Spain
20,4,Women,Les Corts,Pedralbes,21,5161,Spain
21,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,1995,Spain
22,5,Women,Sarrià-Sant Gervasi,Sarrià,23,11592,Spain
23,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,7887,Spain
24,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,12226,Spain
25,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,22569,Spain
26,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,13885,Spain
27,6,Women,Gràcia,Vallcarca i els Penitents,28,7221,Spain
28,6,Women,Gràcia,el Coll,29,3330,Spain
29,6,Women,Gràcia,la Salut,30,6165,Spain
30,6,Women,Gràcia,la Vila de Gràcia,31,21332,Spain
31,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,15973,Spain
32,7,Women,Horta-Guinardó,el Baix Guinardó,33,11868,Spain
33,7,Women,Horta-Guinardó,Can Baró,34,4066,Spain
34,7,Women,Horta-Guinardó,el Guinardó,35,16585,Spain
35,7,Women,Horta-Guinardó,la Font d'en Fargues,36,4565,Spain
36,7,Women,Horta-Guinardó,el Carmel,37,13981,Spain
37,7,Women,Horta-Guinardó,la Teixonera,38,5097,Spain
38,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,3287,Spain
39,7,Women,Horta-Guinardó,Montbau,40,2437,Spain
40,7,Women,Horta-Guinardó,la Vall d'Hebron,41,2806,Spain
41,7,Women,Horta-Guinardó,la Clota,42,302,Spain
42,7,Women,Horta-Guinardó,Horta,43,12719,Spain
43,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,11921,Spain
44,8,Women,Nou Barris,Porta,45,11360,Spain
45,8,Women,Nou Barris,el Turó de la Peira,46,6618,Spain
46,8,Women,Nou Barris,Can Peguera,47,1045,Spain
47,8,Women,Nou Barris,la Guineueta,48,7363,Spain
48,8,Women,Nou Barris,Canyelles,49,3368,Spain
49,8,Women,Nou Barris,les Roquetes,50,6415,Spain
50,8,Women,Nou Barris,Verdun,51,5267,Spain
51,8,Women,Nou Barris,la Prosperitat,52,11835,Spain
52,8,Women,Nou Barris,la Trinitat Nova,53,3078,Spain
53,8,Women,Nou Barris,Torre Baró,54,1182,Spain
54,8,Women,Nou Barris,Ciutat Meridiana,55,3862,Spain
55,8,Women,Nou Barris,Vallbona,56,615,Spain
56,9,Women,Sant Andreu,la Trinitat Vella,57,3608,Spain
57,9,Women,Sant Andreu,Baró de Viver,58,1143,Spain
58,9,Women,Sant Andreu,el Bon Pastor,59,5518,Spain
59,9,Women,Sant Andreu,Sant Andreu,60,27940,Spain
60,9,Women,Sant Andreu,la Sagrera,61,13281,Spain
61,9,Women,Sant Andreu,el Congrés i els Indians,62,6581,Spain
62,9,Women,Sant Andreu,Navas,63,9974,Spain
63,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,16667,Spain
64,10,Women,Sant Martí,el Clot,65,11747,Spain
65,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,6357,Spain
66,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,3861,Spain
67,10,Women,Sant Martí,el Poblenou,68,14080,Spain
68,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,5538,Spain
69,10,Women,Sant Martí,el Besòs i el Maresme,70,8582,Spain
70,10,Women,Sant Martí,Provençals del Poblenou,71,9292,Spain
71,10,Women,Sant Martí,Sant Martí de Provençals,72,11918,Spain
72,10,Women,Sant Martí,la Verneda i la Pau,73,12958,Spain
73,1,Women,Ciutat Vella,el Raval,1,881,Italy
74,1,Women,Ciutat Vella,el Barri Gòtic,2,615,Italy
75,1,Women,Ciutat Vella,la Barceloneta,3,544,Italy
76,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,831,Italy
77,2,Women,Eixample,el Fort Pienc,5,646,Italy
78,2,Women,Eixample,la Sagrada Família,6,849,Italy
79,2,Women,Eixample,la Dreta de l'Eixample,7,890,Italy
80,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,759,Italy
81,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,753,Italy
82,2,Women,Eixample,Sant Antoni,10,583,Italy
83,3,Women,Sants-Montjuïc,el Poble Sec,11,860,Italy
84,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,1,Italy
85,3,Women,Sants-Montjuïc,la Marina de Port,13,126,Italy
86,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,165,Italy
87,3,Women,Sants-Montjuïc,Hostafrancs,15,233,Italy
88,3,Women,Sants-Montjuïc,la Bordeta,16,139,Italy
89,3,Women,Sants-Montjuïc,Sants - Badal,17,178,Italy
90,3,Women,Sants-Montjuïc,Sants,18,409,Italy
91,4,Women,Les Corts,les Corts,19,296,Italy
92,4,Women,Les Corts,la Maternitat i Sant Ramon,20,151,Italy
93,4,Women,Les Corts,Pedralbes,21,92,Italy
94,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,48,Italy
95,5,Women,Sarrià-Sant Gervasi,Sarrià,23,245,Italy
96,8,Women,Nou Barris,Can Peguera,47,0,Ireland
97,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,87,Italy
98,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,195,Italy
99,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,463,Italy
100,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,360,Italy
101,6,Women,Gràcia,Vallcarca i els Penitents,28,179,Italy
102,6,Women,Gràcia,el Coll,29,76,Italy
103,6,Women,Gràcia,la Salut,30,168,Italy
104,6,Women,Gràcia,la Vila de Gràcia,31,1138,Italy
105,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,468,Italy
106,7,Women,Horta-Guinardó,el Baix Guinardó,33,269,Italy
107,7,Women,Horta-Guinardó,Can Baró,34,96,Italy
108,7,Women,Horta-Guinardó,el Guinardó,35,327,Italy
109,7,Women,Horta-Guinardó,la Font d'en Fargues,36,51,Italy
110,7,Women,Horta-Guinardó,el Carmel,37,187,Italy
111,7,Women,Horta-Guinardó,la Teixonera,38,68,Italy
112,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,39,Italy
113,7,Women,Horta-Guinardó,Montbau,40,42,Italy
114,7,Women,Horta-Guinardó,la Vall d'Hebron,41,26,Italy
115,7,Women,Horta-Guinardó,la Clota,42,9,Italy
116,7,Women,Horta-Guinardó,Horta,43,107,Italy
117,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,109,Italy
118,8,Women,Nou Barris,Porta,45,76,Italy
119,8,Women,Nou Barris,el Turó de la Peira,46,49,Italy
120,8,Women,Nou Barris,Can Peguera,47,8,Italy
121,8,Women,Nou Barris,la Guineueta,48,31,Italy
122,8,Women,Nou Barris,Canyelles,49,13,Italy
123,8,Women,Nou Barris,les Roquetes,50,57,Italy
124,8,Women,Nou Barris,Verdun,51,59,Italy
125,8,Women,Nou Barris,la Prosperitat,52,76,Italy
126,8,Women,Nou Barris,la Trinitat Nova,53,23,Italy
127,8,Women,Nou Barris,Torre Baró,54,6,Italy
128,8,Women,Nou Barris,Ciutat Meridiana,55,13,Italy
129,8,Women,Nou Barris,Vallbona,56,7,Italy
130,9,Women,Sant Andreu,la Trinitat Vella,57,30,Italy
131,9,Women,Sant Andreu,Baró de Viver,58,9,Italy
132,9,Women,Sant Andreu,el Bon Pastor,59,26,Italy
133,9,Women,Sant Andreu,Sant Andreu,60,225,Italy
134,9,Women,Sant Andreu,la Sagrera,61,176,Italy
135,9,Women,Sant Andreu,el Congrés i els Indians,62,94,Italy
136,9,Women,Sant Andreu,Navas,63,165,Italy
