,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
0,1,Women,Ciutat Vella,el Raval,1,395,0-4 years,Spain
1,1,Women,Ciutat Vella,el Barri Gòtic,2,102,0-4 years,Spain
2,1,Women,Ciutat Vella,la Barceloneta,3,131,0-4 years,Spain
3,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,185,0-4 years,Spain
4,2,Women,Eixample,el Fort Pienc,5,419,0-4 years,Spain
5,2,Women,Eixample,la Sagrada Família,6,677,0-4 years,Spain
6,2,Women,Eixample,la Dreta de l'Eixample,7,599,0-4 years,Spain
7,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,562,0-4 years,Spain
8,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,830,0-4 years,Spain
9,2,Women,Eixample,Sant Antoni,10,476,0-4 years,Spain
10,3,Women,Sants-Montjuïc,el Poble Sec,11,452,0-4 years,Spain
11,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,28,0-4 years,Spain
12,3,Women,Sants-Montjuïc,la Marina de Port,13,451,0-4 years,Spain
13,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,99,0-4 years,Spain
14,3,Women,Sants-Montjuïc,Hostafrancs,15,240,0-4 years,Spain
15,3,Women,Sants-Montjuïc,la Bordeta,16,311,0-4 years,Spain
16,3,Women,Sants-Montjuïc,Sants - Badal,17,347,0-4 years,Spain
17,3,Women,Sants-Montjuïc,Sants,18,622,0-4 years,Spain
18,4,Women,Les Corts,les Corts,19,767,0-4 years,Spain
19,4,Women,Les Corts,la Maternitat i Sant Ramon,20,400,0-4 years,Spain
20,4,Women,Les Corts,Pedralbes,21,176,0-4 years,Spain
21,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,90,0-4 years,Spain
22,5,Women,Sarrià-Sant Gervasi,Sarrià,23,548,0-4 years,Spain
23,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,345,0-4 years,Spain
24,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,447,0-4 years,Spain
25,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,918,0-4 years,Spain
26,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,556,0-4 years,Spain
27,6,Women,Gràcia,Vallcarca i els Penitents,28,270,0-4 years,Spain
28,6,Women,Gràcia,el Coll,29,100,0-4 years,Spain
29,6,Women,Gràcia,la Salut,30,219,0-4 years,Spain
30,6,Women,Gràcia,la Vila de Gràcia,31,849,0-4 years,Spain
31,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,585,0-4 years,Spain
